2023-03-02 21:26:55 INFO  seleniumlogs:13 - implementation
  2023-03-02 21:26:59 INFO  seleniumlogs:20 - entering username and password
  2023-03-02 21:27:02 INFO  seleniumlogs:27 - loging
  2023-03-02 21:27:03 INFO  seleniumlogs:29 - login successful
  2023-03-02 21:31:59 INFO  seleniumlogs:12 - implementation
  2023-03-02 21:31:59 INFO  seleniumlogs:36 - invalid page
  2023-03-02 21:32:56 INFO  seleniumlogs:12 - implementation
  2023-03-02 21:33:00 INFO  seleniumlogs:21 - entering username and password
  2023-03-02 21:33:00 INFO  seleniumlogs:25 - send username and password
  2023-03-02 21:33:03 INFO  seleniumlogs:29 - loging
  2023-03-02 21:33:05 INFO  seleniumlogs:31 - login successful
  2023-03-02 21:59:33 INFO  seleniumlogs:12 - implementation
  2023-03-02 21:59:37 INFO  seleniumlogs:21 - entering username and password
  2023-03-02 21:59:37 INFO  seleniumlogs:25 - send username and password
  2023-03-02 21:59:40 INFO  seleniumlogs:29 - loging
  2023-03-02 21:59:42 INFO  seleniumlogs:31 - login successful
  2023-03-03 14:31:35 INFO  seleniumlogs:12 - implementation
  2023-03-03 14:31:39 INFO  seleniumlogs:21 - entering username and password
  2023-03-03 14:31:39 INFO  seleniumlogs:25 - send username and password
  2023-03-03 14:31:42 INFO  seleniumlogs:29 - loging
  2023-03-03 14:31:43 INFO  seleniumlogs:31 - login successful
  2023-03-03 21:24:08 INFO  seleniumlogs:12 - implementation
  2023-03-03 21:25:11 INFO  seleniumlogs:12 - implementation
  2023-03-03 21:27:33 INFO  seleniumlogs:12 - implementation
  2023-03-03 21:31:52 INFO  seleniumlogs:12 - implementation
  2023-03-03 21:31:56 INFO  seleniumlogs:21 - entering username and password
  2023-03-03 21:31:56 INFO  seleniumlogs:24 - send username and password
  2023-03-03 21:34:07 INFO  seleniumlogs:12 - implementation
  2023-03-03 21:35:46 INFO  seleniumlogs:12 - implementation
  2023-03-03 21:35:50 INFO  seleniumlogs:21 - entering username and password
  2023-03-03 21:35:50 INFO  seleniumlogs:24 - send username and password
  2023-03-05 08:04:08 INFO  seleniumlogs:12 - implementation
  2023-03-05 08:04:11 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 08:04:11 INFO  seleniumlogs:24 - send username and password
  2023-03-05 08:06:31 INFO  seleniumlogs:12 - implementation
  2023-03-05 08:09:07 INFO  seleniumlogs:12 - implementation
  2023-03-05 08:10:11 INFO  seleniumlogs:12 - implementation
  2023-03-05 08:10:15 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 08:10:15 INFO  seleniumlogs:24 - send username and password
  2023-03-05 08:11:49 INFO  seleniumlogs:12 - implementation
  2023-03-05 08:11:55 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 08:11:55 INFO  seleniumlogs:25 - send username and password
  2023-03-05 08:13:12 INFO  seleniumlogs:12 - implementation
  2023-03-05 08:13:16 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 08:13:16 INFO  seleniumlogs:25 - send username and password
  2023-03-05 08:15:49 INFO  seleniumlogs:12 - implementation
  2023-03-05 08:15:53 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 08:15:53 INFO  seleniumlogs:25 - send username and password
  2023-03-05 08:15:56 INFO  seleniumlogs:29 - loging
  2023-03-05 08:15:59 INFO  seleniumlogs:31 - login successful
  2023-03-05 08:16:31 INFO  seleniumlogs:12 - implementation
  2023-03-05 08:16:37 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 08:16:37 INFO  seleniumlogs:24 - send username and password
  2023-03-05 08:16:40 INFO  seleniumlogs:28 - loging
  2023-03-05 08:16:41 INFO  seleniumlogs:30 - login successful
  2023-03-05 10:44:18 INFO  seleniumlogs:12 - implementation
  2023-03-05 10:44:22 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 10:44:22 INFO  seleniumlogs:24 - send username and password
  2023-03-05 10:44:26 INFO  seleniumlogs:28 - loging
  2023-03-05 10:44:27 INFO  seleniumlogs:30 - login successful
  2023-03-05 10:44:41 INFO  seleniumlogs:32 - search succesfully
  2023-03-05 10:45:40 INFO  seleniumlogs:12 - implementation
  2023-03-05 10:45:44 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 10:45:44 INFO  seleniumlogs:24 - send username and password
  2023-03-05 10:45:47 INFO  seleniumlogs:28 - loging
  2023-03-05 10:45:49 INFO  seleniumlogs:30 - login successful
  2023-03-05 10:46:02 INFO  seleniumlogs:32 - search succesfully
  2023-03-05 10:50:38 INFO  seleniumlogs:12 - implementation
  2023-03-05 10:50:42 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 10:50:42 INFO  seleniumlogs:24 - send username and password
  2023-03-05 10:50:45 INFO  seleniumlogs:28 - loging
  2023-03-05 10:50:46 INFO  seleniumlogs:30 - login successful
  2023-03-05 10:51:00 INFO  seleniumlogs:32 - search succesfully
  2023-03-05 10:52:53 INFO  seleniumlogs:12 - implementation
  2023-03-05 10:52:57 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 10:52:57 INFO  seleniumlogs:24 - send username and password
  2023-03-05 10:53:00 INFO  seleniumlogs:28 - loging
  2023-03-05 10:53:01 INFO  seleniumlogs:30 - login successful
  2023-03-05 10:53:14 INFO  seleniumlogs:32 - search succesfully
  2023-03-05 11:19:53 INFO  seleniumlogs:12 - implementation
  2023-03-05 11:19:58 INFO  seleniumlogs:21 - entering username and password
  2023-03-05 11:19:58 INFO  seleniumlogs:24 - send username and password
  2023-03-05 11:20:01 INFO  seleniumlogs:28 - loging
  2023-03-05 11:20:02 INFO  seleniumlogs:30 - login successful
  2023-03-05 11:20:17 INFO  seleniumlogs:32 - search succesfully
  2023-03-05 11:33:59 INFO  seleniumlogs:16 - implementation
  2023-03-05 11:34:03 INFO  seleniumlogs:25 - entering username and password
  2023-03-05 11:34:03 INFO  seleniumlogs:28 - send username and password
